name,about,catalog,price,image
PORNSTAR,"Погрузитесь в мир соблазна с коктейлем ""PORNSTAR"" — это искушение, распускающее сладкие ноты, которые пробуждают страсть и оставляют незабываемый след. Поднимите бокал и наслаждайтесь моментом!",Комфорт,990,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TAPjb2GQS3bpIi2Qh1vu/pub/susyw6v3JOq55MDKpTvv.jpg
BERRY P.,"""BERRY P."" — это изысканный коктейль, способный окутать вас ароматом свежих ягод и бодрящих нот. Ощутите волшебство утреннего бриза и сводящие с ума оттенки лета в каждом глотке.",Комфорт,990,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TAPjb2GQS3bpIi2Qh1vu/pub/e6WYMRf6NyXENdg7vghQ.png
LRM,"LRM — это утончённый коктейль, в котором гармония вкусов и ароматы пробуждают чувства, создавая атмосферу волшебства и загадки, словно вечерний закат на берегу моря.",Комфорт,990,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TAPjb2GQS3bpIi2Qh1vu/pub/D9oWhOEoju12C33h3f2f.jpeg
KISS MA GLASS,"Погрузитесь в волшебство коктейля ""KISS MA GLASS"" — страстный распорядок для ваших чувств, где изысканность встречает игривую нежность в каждом глотке.",Комфорт,990,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TAPjb2GQS3bpIi2Qh1vu/pub/RzR7MJVShvnUpBb89FRc.png
PEACH FUZZ 2.0,"Погрузитесь в волшебство «Peach Fuzz 2.0», где сладкие ноты персика танцуют с легкими искрами игристых цитрусов. Этот коктейль пробуждает фантазии и дарит нежную эйфорию.",Комфорт,990,https://static.vecteezy.com/system/resources/previews/010/486/975/non_2x/rock-glass-icon-with-water-and-lemon-simple-line-silhouette-and-clean-style-suitable-for-symbol-sign-icon-or-logo-free-vector.jpg
PLUM FIZZ,"Ощутите легкость и свежесть в каждом глотке Plum Fizz — коктейля, который распускает ароматы спелой сливы, искрящейся игристостью и солнечным настроением. Погрузитесь в атмосферу утончённого наслаждения и вечернего уюта!",Комфорт,990,https://static.vecteezy.com/system/resources/previews/010/486/975/non_2x/rock-glass-icon-with-water-and-lemon-simple-line-silhouette-and-clean-style-suitable-for-symbol-sign-icon-or-logo-free-vector.jpg
MOSCOW MULE,"Погрузитесь в волшебство московского вечера с коктейлем ""Московский мул"" — ультрасвежая симфония имбиря и цитрусов, подаваемая в изысканном медном кубке.",Комфорт,990,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/AsUskBfgu4fWKqd4Iofn/pub/uXH3lkFwUYADPEqYXJaV.jpg
RED BULL GIMLET,"Погрузитесь в бурю эмоций с коктейлем Red Bull Gimlet — гармония энергичного ритма и нежной свежести лимона, пробуждающая жажду приключений.",Комфорт,990,https://static.vecteezy.com/system/resources/previews/010/486/975/non_2x/rock-glass-icon-with-water-and-lemon-simple-line-silhouette-and-clean-style-suitable-for-symbol-sign-icon-or-logo-free-vector.jpg
FLAMENCO,"Фламенко — это коктейль, в котором страсть и изящество сливаются в танце вкусов. Его яркий оттенок и загадочный аромат погружают в атмосферу испанской ночи.",Комфорт,990,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TAPjb2GQS3bpIi2Qh1vu/pub/haebXpZy4Egc6JSI1gG4.jpeg
SESAM,"SESAM — это утончённый коктейль, в котором гармонично переплетаются нотки восточной экзотики и мягкий вкус, создавая атмосферу уюта и загадки. Погружаясь в его аромат, вы ощутите волшебство момента.",Комфорт,990,https://static.vecteezy.com/system/resources/previews/010/486/975/non_2x/rock-glass-icon-with-water-and-lemon-simple-line-silhouette-and-clean-style-suitable-for-symbol-sign-icon-or-logo-free-vector.jpg
G&T,"Элегантный G&T — это волшебное сочетание джина и тоника, наполняющее атмосферу тонкими нотами цитруса и свежести. Откройте для себя искрящийся мир наслаждения!",Комфорт,990,https://static.vecteezy.com/system/resources/previews/010/486/975/non_2x/rock-glass-icon-with-water-and-lemon-simple-line-silhouette-and-clean-style-suitable-for-symbol-sign-icon-or-logo-free-vector.jpg
PASSION SPRITS,"Откройте для себя коктейль ""Пассион Спиритс"" — это страстный танец вкусов, который окутывает утренним туманом манго и цитрусовыми нотами, унося вас в атмосферу романтического вечера. Позвольте своим чувствам раствориться в этом великолепии!",Премиум,1190,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TAPjb2GQS3bpIi2Qh1vu/pub/zwGijHZkX1aGqjHEnkwz.jpeg
SALVIA,"Коктейль ""SALVIA"" — это изысканная симфония вкусов, пробуждающая воспоминания о солнечных лугах. Нежные нотки шалфея и свежих трав создают атмосферу утонченной гармонии и расслабления.",Премиум,1190,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TAPjb2GQS3bpIi2Qh1vu/pub/X73H9t5hvWBV5mdCC60Z.jpeg
LRM,"LRM — это утончённый коктейль, в котором гармония вкусов и ароматы пробуждают чувства, создавая атмосферу волшебства и загадки, словно вечерний закат на берегу моря.",Премиум,1190,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TAPjb2GQS3bpIi2Qh1vu/pub/D9oWhOEoju12C33h3f2f.jpeg
PORNSTAR,"Погрузитесь в мир соблазна с коктейлем ""PORNSTAR"" — это искушение, распускающее сладкие ноты, которые пробуждают страсть и оставляют незабываемый след. Поднимите бокал и наслаждайтесь моментом!",Премиум,1190,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TAPjb2GQS3bpIi2Qh1vu/pub/susyw6v3JOq55MDKpTvv.jpg
PEACH FUZZ,"«Peach Fuzz» — это коктейль, окутывающий вас теплом солнечного дня, где сладость персика танцует с легкими нотами нежного фисташкового крема. Каждый глоток — это запретный плод наслаждения.",Премиум,1190,https://static.vecteezy.com/system/resources/previews/010/486/975/non_2x/rock-glass-icon-with-water-and-lemon-simple-line-silhouette-and-clean-style-suitable-for-symbol-sign-icon-or-logo-free-vector.jpg
BERRY P.,"""BERRY P."" — это изысканный коктейль, способный окутать вас ароматом свежих ягод и бодрящих нот. Ощутите волшебство утреннего бриза и сводящие с ума оттенки лета в каждом глотке.",Премиум,1190,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TAPjb2GQS3bpIi2Qh1vu/pub/e6WYMRf6NyXENdg7vghQ.png
KISS MA GLASS,"Погрузитесь в волшебство коктейля ""KISS MA GLASS"" — страстный распорядок для ваших чувств, где изысканность встречает игривую нежность в каждом глотке.",Премиум,1190,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TAPjb2GQS3bpIi2Qh1vu/pub/RzR7MJVShvnUpBb89FRc.png
FLAMENCO,"Фламенко — это коктейль, в котором страсть и изящество сливаются в танце вкусов. Его яркий оттенок и загадочный аромат погружают в атмосферу испанской ночи.",Премиум,1190,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TAPjb2GQS3bpIi2Qh1vu/pub/haebXpZy4Egc6JSI1gG4.jpeg
FROZEN BELLINI,"Погрузитесь в мир безмятежности с Frozen Bellini — коктейль, который расправляет заботы, словно мягкий зимний ветер, и окутывает нежной сладостью персикового благородства.",Премиум,1190,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TAPjb2GQS3bpIi2Qh1vu/pub/qRjZyU4KyxpUNmPGcldk.png
PINA MALINA,"Откройте для себя коктейль PINA MALINA — изысканное сочетание тропической свежести и ягодной сладости, которое перенесет вас на солнечный пляж в сердце лета. Каждая капля пробуждает фантазии о безмятежности и удовольствии.",Премиум,1190,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TAPjb2GQS3bpIi2Qh1vu/pub/g0tibnF1efC3LFcGrAuE.png
APPLE T.,"Коктейль ""APPLE T"" — это волшебство осени в каждом глотке. Нежный вкус яблок переплетается с изысканными нотами, создавая атмосферу уюта и элегантности.",Премиум,1190,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TAPjb2GQS3bpIi2Qh1vu/pub/ldBdyZXsuAIcIxle7jnH.png
DUBAI ISOTONIC,,Премиум,1190,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TAPjb2GQS3bpIi2Qh1vu/pub/lsVkw6A2qYrMmByf9dlF.jpeg
VIPER ROUGE,,Премиум,1190,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/TAPjb2GQS3bpIi2Qh1vu/pub/tlLAdh9vjStH82hGHaGs.png
PLUM FIZZ,,Премиум,1190,https://static.vecteezy.com/system/resources/previews/010/486/975/non_2x/rock-glass-icon-with-water-and-lemon-simple-line-silhouette-and-clean-style-suitable-for-symbol-sign-icon-or-logo-free-vector.jpg
RED BULL GIMLET,,Премиум,1190,https://static.vecteezy.com/system/resources/previews/010/486/975/non_2x/rock-glass-icon-with-water-and-lemon-simple-line-silhouette-and-clean-style-suitable-for-symbol-sign-icon-or-logo-free-vector.jpg
ROSSINI+,,Премиум,1190,https://static.vecteezy.com/system/resources/previews/010/486/975/non_2x/rock-glass-icon-with-water-and-lemon-simple-line-silhouette-and-clean-style-suitable-for-symbol-sign-icon-or-logo-free-vector.jpg
ESPRESSO MARTINI,,Премиум,1190,https://static.vecteezy.com/system/resources/previews/010/486/975/non_2x/rock-glass-icon-with-water-and-lemon-simple-line-silhouette-and-clean-style-suitable-for-symbol-sign-icon-or-logo-free-vector.jpg
MOSCOW MULE,"Погрузитесь в волшебство московского вечера с коктейлем ""Московский мул"" — ультрасвежая симфония имбиря и цитрусов, подаваемая в изысканном медном кубке.",Премиум,1190,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/AsUskBfgu4fWKqd4Iofn/pub/uXH3lkFwUYADPEqYXJaV.jpg
